start_station_name,start_station_id,avg_lat,avg_lng,total_trips,member_trips,casual_trips,peak_departures,peak_net_outflow,peak_outflow_rate,total_rebalancing_needed,rebalancing_cost
7 Ave S & Bleecker St,5805.07,40.73213896287381,-74.00363802909851,32651,26068,6583,4108.0,1500.0,0.36514118792599803,6916.0,14523.6
Central Park W & W 72 St,7141.07,40.77579376683666,-73.9762057363987,32604,21338,11266,4342.0,2188.0,0.5039152464302165,7317.0,15365.7
2 Ave & E 31 St,6197.11,40.74299,-73.97711,32195,27703,4492,3537.0,634.0,0.17924795024031664,5996.0,12591.6
Broadway & W 61 St,7014.12,40.77003010255044,-73.9819684624672,32096,25823,6273,3592.0,782.0,0.21770601336302894,6805.0,14290.5
Allen St & Stanton St,5484.09,40.722055,-73.989111,31929,26055,5874,3688.0,1332.0,0.3611713665943601,6007.0,12614.7
W 13 St & 7 Ave,6030.04,40.73781509,-73.99994661,31876,28540,3336,5244.0,1265.0,0.2412280701754386,6125.0,12862.5
North Moore St & Greenwich St,5470.12,40.72019521437465,-74.0103006362915,31859,28853,3006,1716.0,-6863.0,-3.9994172494172493,16098.0,33805.8
W 47 St & 10 Ave,6824.07,40.76269882,-73.99301222,31820,27773,4047,4351.0,2334.0,0.5364284072626982,7539.0,15831.900000000001
5 Ave & E 72 St,7100.07,40.77282817,-73.96685276,31503,19148,12355,2742.0,-891.0,-0.324945295404814,5796.0,12171.6
E 11 St & 1 Ave,5746.14,40.72953837,-73.98426726,31417,27255,4162,5551.0,3112.0,0.5606197081606917,7703.0,16176.300000000001
E 44 St & Lexington Ave,6464.09,40.752643,-73.974996,31245,27711,3534,5450.0,-3032.0,-0.5563302752293579,7284.0,15296.400000000001
E 72 St & York Ave,6889.12,40.76663814,-73.95348296,31194,28443,2751,6973.0,266.0,0.03814713896457766,6155.0,12925.5
St Marks Pl & 1 Ave,5626.13,40.72779126,-73.98564945,31188,26856,4332,4782.0,3234.0,0.6762860727728983,8386.0,17610.600000000002
E 10 St & Ave A,5659.05,40.72740794,-73.98142006,31152,26147,5005,4671.0,3039.0,0.6506101477199743,7945.0,16684.5
MacDougal St & Prince St,5687.04,40.72710258,-74.00297088,31130,26119,5011,3911.0,-1453.0,-0.3715162362567118,5394.0,11327.4
Hudson St & W 13 St,6115.06,40.74005708567285,-74.0052741765976,31123,25465,5658,2938.0,-1308.0,-0.4452008168822328,5520.0,11592.0
W 25 St & 9 Ave,6339.06,40.747832605837715,-74.00057226435818,31094,28198,2896,4909.0,1909.0,0.3888775718068853,6938.0,14569.800000000001
FDR Drive & E 35 St,6230.04,40.744219,-73.97121214,30968,25947,5021,6978.0,4719.0,0.676268271711092,10871.0,22829.100000000002
Mott St & Prince St,5561.04,40.72317958,-73.99480012,30918,25426,5492,3064.0,-592.0,-0.19321148825065274,5188.0,10894.800000000001
W 53 St & 10 Ave,6890.01,40.76669671,-73.99061728,30841,27698,3143,4907.0,1817.0,0.37028734460974116,6225.0,13072.5
Franklin St & Dupont St,5944.01,40.73564,-73.95866,30817,26971,3846,4177.0,1404.0,0.3361264065118506,6131.0,12875.1
E 58 St & 3 Ave,6762.02,40.76095756,-73.96724467,30781,27302,3479,3865.0,-3577.0,-0.9254851228978008,8130.0,17073.0
W 22 St & 8 Ave,6224.03,40.74475148,-73.99915361999999,30618,27250,3368,5827.0,1724.0,0.295864081002231,7189.0,15096.900000000001
4 Ave & E 12 St,5788.15,40.732647,-73.99011,30546,26656,3890,3800.0,-213.0,-0.05605263157894737,4863.0,10212.300000000001
8 Ave & W 33 St,6450.12,40.751551,-73.993934,30422,24841,5581,3816.0,-5.0,-0.001310272536687631,7662.0,16090.2
W 54 St & 9 Ave,6920.05,40.76604,-73.98737,30258,26628,3630,4086.0,1969.0,0.4818893783651493,7253.0,15231.300000000001
Riverside Blvd & W 67 St,7183.03,40.777507027547976,-73.98888587951659,30174,25092,5082,6642.0,4915.0,0.7399879554351099,9165.0,19246.5
Amsterdam Ave & W 79 St,7311.02,40.7829391,-73.9786517,30130,26008,4122,5285.0,2762.0,0.5226111636707663,7047.0,14798.7
Ave A & E 11 St,5703.13,40.72854745023944,-73.98175925016403,30067,26132,3935,5503.0,1596.0,0.29002362347810284,6752.0,14179.2
9 Ave & W 39 St,6644.08,40.756403523272496,-73.99410143494606,29982,25010,4972,3529.0,446.0,0.1263814111646359,6640.0,13944.0
Greenwich St & W Houston St,5730.08,40.728846,-74.008591,29974,24852,5122,3155.0,-3717.0,-1.1781299524564184,9360.0,19656.0
E 74 St & 1 Ave,6953.08,40.7689738,-73.95482273,29943,26932,3011,6254.0,978.0,0.15637991685321395,6652.0,13969.2
Pier 40 - Hudson River Park,5696.03,40.7277140777778,-74.01129573583603,29759,21019,8740,2379.0,-685.0,-0.28793610760823873,5535.0,11623.5
West Drive & Prospect Park West,3651.04,40.6610633719006,-73.97945255041122,29573,22369,7204,2030.0,134.0,0.06600985221674877,5720.0,12012.0
Gramercy Park N & Gramercy Park E,6013.12,40.73795,-73.98509,29524,26179,3345,4785.0,-628.0,-0.13124346917450366,5818.0,12217.800000000001
5 Ave & E 87 St,7323.09,40.78232260730881,-73.95987510681152,29522,16103,13419,2441.0,-483.0,-0.19786972552232693,5561.0,11678.1
